subj	session	variance	catAss	ticks	feedType	phase	trial	length	tarCat	respSE	respRT	respACC	move
112101	3	1	1	2	1	1	128	30	D	D	282	1	13
112101	3	1	1	2	1	1	129	25	A	D	282	0	13
112101	3	1	1	2	1	1	130	40	D	A	220	0	13
112101	3	1	1	2	1	1	131	36	A	D	251	0	13
112101	3	1	1	2	1	1	132	28	D	A	243	0	13
112101	3	1	1	2	1	1	133	45	D	D	44	1	13
112101	3	1	1	2	1	1	134	39	A	D	308	0	13
112101	3	1	1	2	1	1	135	48	D	A	275	0	13
112101	3	1	1	2	1	1	136	37	D	D	322	1	13
112101	3	1	1	2	1	1	137	15	D	A	387	0	13
112101	3	1	1	2	1	1	138	24	A	D	297	0	13
112101	3	1	1	2	1	1	139	31	A	D	573	0	13
112101	3	1	1	2	1	1	140	35	D	A	275	0	13
112101	3	1	1	2	1	1	141	16	A	D	420	0	13
112101	3	1	1	2	1	1	142	44	D	D	435	1	13
112101	3	1	1	2	1	1	143	39	D	A	299	0	13
112101	3	1	1	2	1	1	144	35	D	D	355	1	13
112101	3	1	1	2	1	1	145	19	A	D	281	0	13
112101	3	1	1	2	1	1	146	52	D	D	332	1	13
112101	3	1	1	2	1	1	147	41	A	D	362	0	13
112101	3	1	1	2	1	1	148	25	A	A	355	1	13
112101	3	1	1	2	1	1	149	41	D	A	322	0	13
112101	3	1	1	2	1	1	150	27	A	D	442	0	13
112101	3	1	1	2	1	1	151	29	A	D	348	0	13
112101	3	1	1	2	1	1	152	29	D	A	299	0	13
